paper_id,row_type,efficacy_source,year,first_author,design,country,journal,title_short,sport,sport_category,athlete_level,n_total,age_mean,age_sd,sex_male_pct,bt_classification,comparator,arm_structure,outcome_domain,outcome_metric,timepoint,lower_is_better,ig_n,ig_mean,ig_sd,cg_n,cg_mean,cg_sd,dispersion_note,complete_for_smd,n_allocated_ig,n_allocated_cg,dropout_n_ig,dropout_n_cg,adherence_rate_ig,adherence_rate_cg,completion_note,feasibility_source_quote,any_ae_reported,overall_ae_n,overall_ae_total,serious_ae_n,ae_description,safety_source_quote,any_ae_n_ig,any_ae_total_ig,any_ae_n_cg,any_ae_total_cg,ae_type,ae_n_ig,ae_n_cg,arm_safety_source_quote,row_id,year_num,n_total_num,ig_n_num,ig_mean_num,ig_sd_num,cg_n_num,cg_mean_num,cg_sd_num,n_allocated_ig_num,n_allocated_cg_num,dropout_n_ig_num,dropout_n_cg_num,any_ae_n_ig_num,any_ae_total_ig_num,any_ae_n_cg_num,any_ae_total_cg_num,overall_ae_n_num,overall_ae_total_num,outcome_lower,lower_by_metric,lower_is_better_flag,direction_standardization_note,direction_multiplier,yi,vi,hedges_g_raw,variance_raw,hedges_g_normalized,variance_normalized,analysis_group
FornasierSantos2018,efficacy_outcome,additional,2018,Fornasier-Santos,RCT,France,Eur J Sport Sci,Repeated-sprint training in hypoxia induced by voluntary hypoventilation,Rugby,team sports,competitive,35,,,100,hypoventilation (VHL),normal breathing (RSN),parallel,performance,RV,post-training,FALSE,11,7.07,0.3,10,7.13,0.37,,TRUE,,,,,,,14 subjects did not complete.,14 subjects did not complete,yes,,35,,"Injuries during matches, illness","Injuries during matches, illness",,,,,,,,,23,2018,35,11,7.07,0.3,10,7.13,0.37,,,,,,,,,,35,rv,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,-0.17193129782932084,0.19176536752770149,-0.17193129782932084,0.19176536752770149,-0.17193129782932084,0.19176536752770149,efficacy_performance
Gray2018,efficacy_outcome,additional,2018,Gray,Crossover,,J Swimming Research,Effects of deep-breathing protocols on swimming performance,Swimming,swimming,competitive,7,,,0,slow-paced breathing (30s),no deep breathing,crossover,physiological,Blood lactate,post-exercise,TRUE,7,3.8,1.06,7,2.9,1.58,,TRUE,7,7,,,,,,,unclear,,,,,,,,,,,,,,24,2018,7,7,3.8,1.06,7,2.9,1.58,7,7,,,,,,,,,blood lactate,TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,0.6261120703748562,0.30480243358779446,0.6261120703748562,0.30480243358779446,-0.6261120703748562,0.30480243358779446,efficacy_physiological
Gray2018,efficacy_outcome,primary,2018,Gray,Crossover,,J Swimming Research,Effects of deep-breathing protocols on swimming performance,Swimming,swimming,competitive,7,,,0,slow-paced breathing (30s),no deep breathing,crossover,Performance,50-yard freestyle time (s),Post-exercise,TRUE,7,1.77,0.10,7,1.75,0.12,,TRUE,7,7,,,,,,,unclear,,,,,,,,,,,,,,25,2018,7,7,1.77,0.1,7,1.75,0.12,7,7,,,,,,,,,50-yard freestyle time (s),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,0.16947238237846504,0.2871127697317336,0.16947238237846504,0.2871127697317336,-0.16947238237846504,0.2871127697317336,efficacy_performance
Lim2018,efficacy_outcome,additional,2018,Lim,Crossover,Canada,Eur J Appl Physiol,Physiological resolution of periodic breath holding during heavy-intensity Fartlek exercise,Cycling,cycling,recreational,10,24,3,100,breath holding (CONT-BH),free-breathing (CONT),crossover,physiological,VCO2p,post-exercise,FALSE,10,2.29,0.64,10,2.30,0.55,,TRUE,10,10,,,,,,,unclear,,,,,,,,,,,,,,26,2018,10,10,2.29,0.64,10,2.3,0.55,10,10,,,,,,,,,vco2p,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,-0.01604906358158007,0.20000791961530753,-0.01604906358158007,0.20000791961530753,-0.01604906358158007,0.20000791961530753,efficacy_physiological
Lim2018,efficacy_outcome,primary,2018,Lim,Crossover,Canada,Eur J Appl Physiol,Physiological resolution of periodic breath holding during heavy-intensity Fartlek exercise,Cycling,cycling,recreational,10,24,3,100,breath holding (CONT-BH),free-breathing (CONT),crossover,Physiological,VO2p (L/min),Post-exercise,FALSE,10,2.15,0.42,10,2.11,0.38,,TRUE,10,10,,,,,,,unclear,,,,,,,,,,,,,,27,2018,10,10,2.15,0.42,10,2.11,0.38,10,10,,,,,,,,,vo2p (l/min),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,0.09564516088079524,0.2002812747162335,0.09564516088079524,0.2002812747162335,0.09564516088079524,0.2002812747162335,efficacy_physiological
Sakamoto2018,efficacy_outcome,additional,2018,Sakamoto,Crossover,Japan,J Strength Cond Res,Effects of hyperventilation on repeated pedaling sprint performance,Cycling,cycling,competitive,17,,,88,hyperventilation short (HVshort),control,crossover,physiological,VE,during exercise,FALSE,15,153.1,27.0,15,73.6,16.6,,TRUE,17,17,,,,,2 dropouts due to transducer error.,2 subjects were excluded from the data set because of a transducer error.,unclear,,,,,,,,,,,,,,28,2018,17,15,153.1,27,15,73.6,16.6,17,17,,,,,,,,,ve,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,3.451252425914746,0.3601500272161698,3.451252425914746,0.3601500272161698,3.451252425914746,0.3601500272161698,efficacy_physiological
Sakamoto2018,efficacy_outcome,primary,2018,Sakamoto,Crossover,Japan,J Strength Cond Res,Effects of hyperventilation on repeated pedaling sprint performance,Cycling,cycling,competitive,17,,,88,hyperventilation short (HVshort),control,crossover,Physiological,VO2 (ml/min) SP1,During exercise,FALSE,15,1767.5,214.6,15,1692.0,218.8,,TRUE,17,17,,,,,2 dropouts due to transducer error.,2 subjects were excluded from the data set because of a transducer error.,unclear,,,,,,,,,,,,,,29,2018,17,15,1767.5,214.6,15,1692,218.8,17,17,,,,,,,,,vo2 (ml/min) sp1,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,0.3389613553977286,0.13552120548889213,0.3389613553977286,0.13552120548889213,0.3389613553977286,0.13552120548889213,efficacy_physiological
Laborde2019,efficacy_outcome,additional,2019,Laborde,Crossover,Germany,Front Psychol,Influence of slow-paced breathing on inhibition after physical exertion,Burpees,non-sport exercise/performance,healthy active,120,25.57,2.52,58,slow-paced breathing,watching TV documentary,crossover,cognitive,Stroop errors,post-intervention,TRUE,60,0.50,0.70,60,0.81,0.86,,TRUE,60,60,,,,,ECG data lost for 13 participants in Exp 2.,"Due to technical problems, the ECG data of the last 13 participants of Experiment 2 were lost",unclear,,,,,,,,,,,,,,31,2019,120,60,0.5,0.7,60,0.81,0.86,60,60,,,,,,,,,stroop errors,FALSE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,-0.3928427325616876,0.03399708932005235,-0.3928427325616876,0.03399708932005235,0.3928427325616876,0.03399708932005235,efficacy_cognitive
Laborde2019,efficacy_outcome,primary,2019,Laborde,Crossover,Germany,Front Psychol,Influence of slow-paced breathing on inhibition after physical exertion,Burpees,non-sport exercise/performance,healthy active,120,25.57,2.52,58,slow-paced breathing,watching TV documentary,crossover,Performance,Number of Burpees,Post-intervention,FALSE,60,64.27,11.54,60,63.00,11.64,,TRUE,60,60,,,,,ECG data lost for 13 participants in Exp 2.,"Due to technical problems, the ECG data of the last 13 participants of Experiment 2 were lost",unclear,,,,,,,,,,,,,,32,2019,120,60,64.27,11.54,60,63,11.64,60,60,,,,,,,,,number of burpees,TRUE,FALSE,Positive Hedges' g favors the breathing intervention,1,0.10887801702073559,0.033384319388284595,0.10887801702073559,0.033384319388284595,0.10887801702073559,0.033384319388284595,efficacy_performance
Woorons2019,efficacy_outcome,additional,2019,Woorons,Crossover,France,Int J Sports Med,Cerebral and Muscle Oxygenation during Repeated Shuttle Run Sprints with Hypoventilation,Shuttle run sprints,running,competitive,10,,,,hypoventilation,normal breathing,crossover,physiological,PETO2,during exercise,FALSE,10,109.9,3.6,10,114.6,3.6,,TRUE,10,10,,,,,,,unclear,,,,,,,,,,,,,,33,2019,10,10,109.9,3.6,10,114.6,3.6,10,10,,,,,,,,,peto2,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,-1.2502606130587426,0.24806243732871883,-1.2502606130587426,0.24806243732871883,-1.2502606130587426,0.24806243732871883,efficacy_physiological
Woorons2019,efficacy_outcome,primary,2019,Woorons,Crossover,France,Int J Sports Med,Cerebral and Muscle Oxygenation during Repeated Shuttle Run Sprints with Hypoventilation,Shuttle run sprints,running,competitive,10,,,,hypoventilation,normal breathing,crossover,Physiological,SpO2,Post-test,FALSE,10,109.9,3.6,10,114.6,3.6,,TRUE,10,10,,,,,,,unclear,,,,,,,,,,,,,,34,2019,10,10,109.9,3.6,10,114.6,3.6,10,10,,,,,,,,,spo2,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,-1.2502606130587426,0.24806243732871883,-1.2502606130587426,0.24806243732871883,-1.2502606130587426,0.24806243732871883,efficacy_physiological
Woorons2019b,efficacy_outcome,additional,2019,Woorons,RCT,France,Eur J Appl Physiol,Physiological adaptations to repeated sprint training in hypoxia,Cycling,cycling,competitive,18,34.6,11,100,hypoventilation (RSH-VHL),normal breathing (RSN),parallel,performance,RSA Sdec,post-training,FALSE,9,-8.2,7,9,-12.0,9,,TRUE,9,9,,,,,,,unclear,,,,,,,,,,,,,,35,2019,18,9,-8.2,7,9,-12,9,9,9,,,,,,,,,rsa sdec,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,0.4488276963137527,0.22928390781591695,0.4488276963137527,0.22928390781591695,0.4488276963137527,0.22928390781591695,efficacy_performance
Woorons2019b,efficacy_outcome,primary,2019,Woorons,RCT,France,Eur J Appl Physiol,Physiological adaptations to repeated sprint training in hypoxia,Cycling,cycling,competitive,18,34.6,11,100,hypoventilation (RSH-VHL),normal breathing (RSN),parallel,Performance,RSA mean MPO (W),Post-training (3 weeks),FALSE,9,911,117,9,852,69,,TRUE,9,9,,,,,,,unclear,,,,,,,,,,,,,,36,2019,18,9,911,117,9,852,69,9,9,,,,,,,,,rsa mean mpo (w),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,0.5849537837067049,0.234216999533495,0.5849537837067049,0.234216999533495,0.5849537837067049,0.234216999533495,efficacy_performance
Lapointe2020,efficacy_outcome,additional,2020,Lapointe,RCT,Canada,Front Sports Act Living,Impact of repeated-sprint training with voluntary hypoventilation on repeated-sprint ability,Basketball,team sports,competitive,17,22.3,1.2,71,hypoventilation (VHL),normal breathing (CTL),parallel,performance,VIFT,post-training,FALSE,7,18.78,1.68,6,18.63,1.75,,TRUE,9,8,2,2,,,,,yes,1,17,,unrelated injury,1 due to unrelated injury,,,,,,,,,38,2020,17,7,18.78,1.68,6,18.63,1.75,9,8,2,2,,,,,1,17,vift,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,0.08147189094302175,0.309881805142679,0.08147189094302175,0.309881805142679,0.08147189094302175,0.309881805142679,efficacy_performance
Lapointe2020,efficacy_outcome,primary,2020,Lapointe,RCT,Canada,Front Sports Act Living,Impact of repeated-sprint training with voluntary hypoventilation on repeated-sprint ability,Basketball,team sports,competitive,17,22.3,1.2,71,hypoventilation (VHL),normal breathing (CTL),parallel,Performance,RSASdec (%),Post-training (4 weeks),TRUE,7,5.49,2.70,6,6.46,2.50,,TRUE,9,8,2,2,,,,,yes,1,17,,unrelated injury,1 due to unrelated injury,,,,,,,,,39,2020,17,7,5.49,2.7,6,6.46,2.5,9,8,2,2,,,,,1,17,rsasdec (%),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,-0.3454861008780836,0.31596139901623,-0.3454861008780836,0.31596139901623,0.3454861008780836,0.31596139901623,efficacy_performance
Robertson2020,efficacy_outcome,additional,2020,Robertson,Crossover,UK,J Strength Cond Res,Effects of pre-race apneas on 400-m freestyle swimming performance,Swimming,swimming,competitive,9,19,1.5,67,pre-race apneas (WUAP),control (CON),crossover,physiological,Blood lactate,post-time-trial,TRUE,10,9.52,2.12,10,9.84,3.67,,TRUE,10,10,,,,,,,unclear,,,,,,,,,,,,,,40,2020,9,10,9.52,2.12,10,9.84,3.67,10,10,,,,,,,,,blood lactate,TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,-0.10225324690879894,0.20032148366135027,-0.10225324690879894,0.20032148366135027,0.10225324690879894,0.20032148366135027,efficacy_physiological
Robertson2020,efficacy_outcome,primary,2020,Robertson,Crossover,UK,J Strength Cond Res,Effects of pre-race apneas on 400-m freestyle swimming performance,Swimming,swimming,competitive,9,19,1.5,67,pre-race apneas (WUAP),control (CON),crossover,Performance,400-m freestyle time (s),Post-exercise,TRUE,10,275.79,12.88,10,278.66,13.31,,TRUE,10,10,,,,,,,unclear,,,,,,,,,,,,,,41,2020,9,10,275.79,12.88,10,278.66,13.31,10,10,,,,,,,,,400-m freestyle time (s),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,-0.2098568061136244,0.2013541002210573,-0.2098568061136244,0.2013541002210573,0.2098568061136244,0.2013541002210573,efficacy_performance
Bahensky2021,efficacy_outcome,additional,2021,Bahensky,RCT,Czech Republic,J. Clin. Med.,Impact of a Breathing Intervention on Engagement,Unclear,non-sport exercise/performance,unclear,46,,,,yoga-based breathing,normal training,parallel,physiological,Subclavian pressure,post-training,FALSE,22,2.83,0.88,23,2.98,1.35,,TRUE,23,23,1,0,,,,One participant did not complete the intervention for medical reasons unrelated to the intervention and was excluded,yes,1,46,,medical reasons,One participant did not complete the intervention for medical reasons unrelated to the intervention,,,,,,,,,44,2021,46,22,2.83,0.88,23,2.98,1.35,23,23,1,0,,,,,1,46,subclavian pressure,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,-0.12872283246776023,0.0891336273161544,-0.12872283246776023,0.0891336273161544,-0.12872283246776023,0.0891336273161544,efficacy_physiological
Bahensky2021,efficacy_outcome,primary,2021,Bahensky,RCT,Czech Republic,J. Clin. Med.,Impact of a Breathing Intervention on Engagement,Unclear,non-sport exercise/performance,unclear,46,,,,yoga-based breathing,normal training,parallel,Physiological,Abdominal pressure at 3W/kg,Post (8 weeks),FALSE,22,2.83,0.88,23,1.42,0.52,,TRUE,23,23,1,0,,,,One participant did not complete the intervention for medical reasons unrelated to the intervention and was excluded,yes,1,46,,medical reasons,One participant did not complete the intervention for medical reasons unrelated to the intervention,,,,,,,,,45,2021,46,22,2.83,0.88,23,1.42,0.52,23,23,1,0,,,,,1,46,abdominal pressure at 3w/kg,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,1.927404658676179,0.13395677169330156,1.927404658676179,0.13395677169330156,1.927404658676179,0.13395677169330156,efficacy_physiological
Grossman2021,efficacy_outcome,additional,2021,Grossman,Crossover,Canada,Front Physiol,Breath holding during heavy-intensity Fartlek exercise,Cycling,cycling,healthy active,10,23.7,2.5,100,breath holding (CONLD-BH),free-breathing (CONLD),crossover,physiological,VCO2,post-exercise,FALSE,10,2.43,0.70,10,2.55,0.65,,TRUE,10,10,,,,,,,unclear,,,,,,,,,,,,,,48,2021,10,10,2.43,0.7,10,2.55,0.65,10,10,,,,,,,,,vco2,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,-0.17013160533840793,0.20088996861447603,-0.17013160533840793,0.20088996861447603,-0.17013160533840793,0.20088996861447603,efficacy_physiological
Grossman2021,efficacy_outcome,primary,2021,Grossman,Crossover,Canada,Front Physiol,Breath holding during heavy-intensity Fartlek exercise,Cycling,cycling,healthy active,10,23.7,2.5,100,breath holding (CONLD-BH),free-breathing (CONLD),crossover,Physiological,VO2 (L/min),Post-exercise,FALSE,10,2.20,0.45,10,2.24,0.40,,TRUE,10,10,,,,,,,unclear,,,,,,,,,,,,,,49,2021,10,10,2.2,0.45,10,2.24,0.4,10,10,,,,,,,,,vo2 (l/min),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,-0.08997589521509454,0.20024891842473852,-0.08997589521509454,0.20024891842473852,-0.08997589521509454,0.20024891842473852,efficacy_physiological
Taylor2021,efficacy_outcome,additional,2021,Buchanan,Crossover,USA,Human Movement Science,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse,Memory-guided force pulse,non-sport exercise/performance,healthy active,47,21.3,2.8,36,fast-paced breathing,slow-paced breathing,crossover,performance,NMT,during task,TRUE,47,281.83,226.50,47,303.28,225.36,,TRUE,47,47,,,,,,,unclear,,,,,,,,,,,,,,50,2021,47,47,281.83,226.5,47,303.28,225.36,47,47,,,,,,,,,nmt,FALSE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,-0.09416417414676882,0.04260231440923756,-0.09416417414676882,0.04260231440923756,0.09416417414676882,0.04260231440923756,efficacy_performance
Taylor2021,efficacy_outcome,primary,2021,Buchanan,Crossover,USA,Human Movement Science,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse,Memory-guided force pulse,non-sport exercise/performance,healthy active,47,21.3,2.8,36,fast-paced breathing,slow-paced breathing,crossover,Performance,Reaction Time (RT) (ms),During task,TRUE,47,694.10,266.68,47,783.61,339.63,,TRUE,47,47,,,,,,,unclear,,,,,,,,,,,,,,51,2021,47,47,694.1,266.68,47,783.61,339.63,47,47,,,,,,,,,reaction time (rt) (ms),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,-0.2907498726762714,0.04302152133596945,-0.2907498726762714,0.04302152133596945,0.2907498726762714,0.04302152133596945,efficacy_performance
Conlon2022,efficacy_outcome,additional,2022,Conlon,RCT,UK,,The effects of breathing techniques on pressurized performance and stress-responses,Shooting,mixed/various sports,competitive,67,,,,slow diaphragmatic breathing,paced breathing (12 cpm),parallel,physiological,RMSSD,post-intervention,FALSE,22,67.55,42.19,21,61.29,28.05,,TRUE,23,44,1,2,,,,,unclear,,,,,,,,,,,,,,54,2022,67,22,67.55,42.19,21,61.29,28.05,23,44,1,2,,,,,,,rmssd,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,0.17071737338769238,0.0934448141479696,0.17071737338769238,0.0934448141479696,0.17071737338769238,0.0934448141479696,efficacy_physiological
